id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
3133,21.0,2.0,1.0,2.0,25.0,92.51,0.23,4.29,21.59,396.48,0.03,22.03,12.0,3.0,2.0,0.0,6.0,7.0,15.0,10.0,3.0
5785,4.0,1.0,1.0,1.0,15.0,55.51,0.2,5.0,11.1,277.53,0.02,15.42,2.0,0.0,0.0,0.0,10.0,3.0,12.0,3.0,1.0
7458,7.0,2.0,1.0,2.0,34.0,144.43,0.14,7.22,20.0,1043.09,0.05,57.95,4.0,0.0,1.0,0.0,10.0,9.0,21.0,13.0,3.0
8952,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10240,37.0,8.0,6.0,5.0,102.0,531.36,0.05,21.64,24.56,11498.13,0.18,638.79,31.0,0.0,4.0,0.0,19.0,18.0,61.0,41.0,15.0
6948,19.0,1.0,1.0,1.0,71.0,316.62,0.14,7.23,43.77,2290.22,0.11,127.23,15.0,0.0,0.0,0.0,7.0,15.0,40.0,31.0,1.0
6341,14.0,3.0,1.0,1.0,45.0,191.16,0.07,13.71,13.94,2621.58,0.06,145.64,10.0,0.0,2.0,0.0,12.0,7.0,29.0,16.0,5.0
2753,14.0,3.0,1.0,1.0,20.0,69.19,0.16,6.13,11.3,423.78,0.02,23.54,10.0,0.0,1.0,0.0,7.0,4.0,13.0,7.0,4.0
10126,7.0,2.0,1.0,2.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,5.0,0.0,0.0,0.0,5.0,3.0,6.0,4.0,3.0
33,20.0,3.0,1.0,1.0,31.0,118.03,0.11,9.0,13.11,1062.25,0.04,59.01,13.0,4.0,0.0,0.0,9.0,5.0,21.0,10.0,5.0
4634,24.0,4.0,3.0,2.0,68.0,326.9,0.06,16.0,20.43,5230.4,0.11,290.58,16.0,1.0,4.0,0.0,16.0,12.0,44.0,24.0,7.0
8486,74.0,9.0,7.0,5.0,133.0,791.91,0.1,9.95,79.6,7878.68,0.26,437.7,46.0,0.0,5.0,21.0,13.0,49.0,58.0,75.0,17.0
2855,139.0,7.0,1.0,4.0,743.0,4538.63,0.01,74.5,60.92,338128.21,1.51,18784.9,101.0,9.0,22.0,2.0,23.0,46.0,445.0,298.0,13.0
3460,106.0,1.0,1.0,1.0,565.0,2986.25,0.03,39.48,75.64,117903.64,1.0,6550.2,76.0,7.0,19.0,2.0,11.0,28.0,364.0,201.0,1.0
1408,95.0,17.0,8.0,11.0,333.0,1839.35,0.02,51.15,35.96,94089.63,0.61,5227.2,70.0,10.0,6.0,7.0,20.0,26.0,200.0,133.0,33.0
3844,50.0,5.0,1.0,3.0,190.0,974.56,0.03,29.28,33.29,28533.06,0.32,1585.17,28.0,8.0,11.0,1.0,17.0,18.0,128.0,62.0,9.0
5382,9.0,1.0,1.0,1.0,27.0,116.69,0.1,10.5,11.11,1225.27,0.04,68.07,6.0,0.0,1.0,0.0,14.0,6.0,18.0,9.0,1.0
1056,19.0,3.0,1.0,1.0,37.0,167.37,0.12,8.45,19.81,1414.29,0.06,78.57,14.0,0.0,3.0,0.0,13.0,10.0,24.0,13.0,4.0
3837,7.0,3.0,1.0,1.0,21.0,77.71,0.09,11.67,6.66,906.61,0.03,50.37,5.0,0.0,0.0,0.0,10.0,3.0,14.0,7.0,5.0
3079,12.0,2.0,1.0,2.0,18.0,64.53,0.25,4.0,16.12,258.12,0.02,14.34,9.0,0.0,1.0,0.0,6.0,6.0,10.0,8.0,3.0
1608,38.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1768,27.0,5.0,3.0,3.0,71.0,358.15,0.06,16.2,22.11,5802.06,0.12,322.34,21.0,0.0,4.0,0.0,18.0,15.0,44.0,27.0,9.0
7965,4.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,2.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0
2507,14.0,3.0,3.0,2.0,36.0,158.12,0.1,9.75,16.21,1541.7,0.05,85.65,11.0,0.0,1.0,0.0,13.0,8.0,24.0,12.0,5.0
7963,60.0,10.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
7050,5.0,1.0,1.0,1.0,15.0,55.51,0.29,3.5,15.86,194.27,0.02,10.79,3.0,0.0,0.0,0.0,7.0,6.0,9.0,6.0,1.0
7360,35.0,4.0,4.0,3.0,93.0,469.13,0.06,16.67,28.15,7818.81,0.16,434.38,26.0,2.0,4.0,0.0,15.0,18.0,53.0,40.0,7.0
3487,360.0,7.0,1.0,6.0,1933.0,14082.68,0.02,54.0,260.81,760414.2,4.69,42245.23,328.0,0.0,30.0,0.0,17.0,139.0,1050.0,883.0,13.0
483,18.0,2.0,1.0,2.0,30.0,122.62,0.12,8.57,14.31,1051.06,0.04,58.39,13.0,0.0,3.0,0.0,10.0,7.0,18.0,12.0,3.0
3704,23.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8241,24.0,3.0,1.0,1.0,57.0,261.33,0.08,12.5,20.91,3266.79,0.09,181.49,16.0,0.0,5.0,1.0,12.0,12.0,32.0,25.0,5.0
